COWcode,year,chrstprotpct,chrstcatpct,chrstorthpct,chrstgenpct,judgenpct,islmgenpct,budgenpct,hindgenpct,nonreligpct,sumreligpct
2,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1950,0.48,0.28,0.02,0.8077,0.04,0,0,0,0.1482,0.9959
2,1951,0.47958,0.27992,0.02016,0.80768,0.03842,0,1e-4,0,0.14664,0.99286
2,1952,0.47916,0.27984000000000003,0.02032,0.8076599999999999,0.03684,0,2e-4,0,0.14508,0.98982
2,1953,0.47874,0.27976,0.020479999999999998,0.80764,0.03526,0,3e-4,0,0.14352,0.98678
2,1954,0.47831999999999997,0.27968000000000004,0.02064,0.80762,0.033679999999999995,0,4e-4,0,0.14196,0.9837400000000001
2,1955,0.4779,0.2796,0.0208,0.8076,0.0321,0,5e-4,0,0.1404,0.9807
2,1956,0.48272,0.27968000000000004,0.02034,0.81238,0.03176,0,0.00262,0,0.13618,0.98304
2,1957,0.48754,0.27976,0.01988,0.81716,0.03142,0,0.004739999999999999,0,0.13196,0.98538
2,1958,0.49236,0.27984000000000003,0.01942,0.82194,0.03108,0,0.00686,0,0.12774,0.9877199999999999
2,1959,0.49718,0.27992,0.018959999999999998,0.82672,0.03074,0,0.00898,0,0.12352,0.9900599999999999
2,1960,0.502,0.28,0.0185,0.8315,0.0304,0,0.0111,0,0.1193,0.9924
2,1961,0.49836,0.29054,0.019719999999999998,0.83734,0.03008,0,0.01,0,0.11584,0.99332
2,1962,0.49472,0.30108,0.02094,0.84318,0.029759999999999998,0,0.0089,0,0.11238,0.99424
2,1963,0.49108,0.31162,0.02216,0.84902,0.02944,0,0.0078,0,0.10892,0.9951599999999999
2,1964,0.48744,0.32216,0.02338,0.8548600000000001,0.02912,0,0.0067,0,0.10546,0.99608
2,1965,0.4838,0.3327,0.0246,0.8607,0.0288,0,0.0056,0,0.102,0.997
